Status;Life expectancy ;Adult Mortality;infant deaths;Alcohol;percentage expenditure;Hepatitis B;Measles ; BMI ;Year;=COEF.DE.CORREL(B2:B2721,C2:C2721);
Developing;54,8;355;24;4,54;1,72659515;99;43;14,8;2007;;
Developing;54,1;361;24;4,5;21,24915339;92;784;14,5;2006;;
Developing;53,4;369;24;5,54;1,747440948;87;0;14,1;2005;;
Developing;52,6;378;24;5,72;11,22655347;83;2;13,8;2004;;
Developing;51,9;387;24;5,84;6,545263634;;224;13,5;2003;;
Developing;51,5;387;24;5,98;9,660010196;;1016;13,3;2002;;
Developing;51,3;385;25;6,09;10,61917585;;0;13;2001;;
Developing;58;386;25;6,61;9,696689164;;18363;12,8;2000;;
Developing;52,8;47;58;0,01;0;76;50;27,4;2014;;
Developing;52,3;412;59;3,15;0;8;48;26,8;2013;;
Developing;52;415;59;3,24;0;82;137;26,2;2012;;
Developing;51,7;419;60;3,13;0;62;628;25,6;2011;;
Developing;51,5;417;60;3,15;0;85;441;25;2010;;
Developing;51;426;60;2,92;0;81;183;24,4;2009;;
Developing;54;437;60;2,69;0;74;12;23,8;2008;;
Developing;49,9;443;61;2,58;0;76;5;23,2;2007;;
Developing;49,4;452;62;2,65;0;77;11;22,6;2006;;
Developing;48,7;466;63;3,11;0;76;115;22,1;2005;;
Developing;48,2;472;64;3,08;0;67;3466;21,5;2004;;
Developing;48;473;64;3,12;0;63;4770;2,9;2003;;
Developing;47,7;473;65;3,13;0;48;5882;2,4;2002;;
Developing;47,8;467;65;3,15;0;1;5790;19,9;2001;;
Developing;47,9;461;67;3,45;0;;5729;19,4;2000;;
Developing;73;117;0;0,01;414,0242418;97;0;3,5;2014;;
Developing;72,8;12;0;0,01;325,6298627;94;0;29,7;2013;;
Developing;72,7;121;0;0,01;33,55888998;94;0;29;2012;;
Developing;72,6;122;0;5,07;4,409153436;9;0;28,2;2011;;
Developing;72,5;123;0;4,75;286,8907303;98;0;27,5;2010;;
Developing;72,4;124;0;4,45;339,9777364;98;0;26,8;2009;;
Developing;72,4;124;0;4,16;360,6208825;98;0;26,2;2008;;
Developing;72,3;126;0;5,28;345,463714;96;0;25,5;2007;;
Developing;72,1;129;0;4,25;26,45133197;95;0;24,9;2006;;
Developing;71,8;134;0;4,26;3,349816965;93;0;24,3;2005;;
Developing;71,4;14;0;4,19;240,139715;91;0;23,7;2004;;
Developing;71,1;144;0;4,16;209,0865;66;0;23,2;2003;;
Developing;77;148;0;3,82;155,2072669;4;0;22,6;2002;;
Developing;73;152;0;3,81;150,7434862;;0;22,1;2001;;
Developing;69,9;155;0;3,49;122,5744699;;2;21,5;2000;;
Developing;68,3;179;11;0,01;12,17952064;88;0;18,9;2014;;
Developing;67,8;183;11;0,01;8,758214538;83;0;18,2;2013;;
Developing;67,4;186;12;0,01;6,914723983;86;15;17,6;2012;;
Developing;67;19;13;2,12;60,18591771;88;722;17;2011;;
Developing;66,6;192;14;2,2;56,88416481;89;1156;16,4;2010;;
Developing;66,1;195;15;2,13;48,35423978;92;4779;15,9;2009;;
Developing;65,6;199;16;2,24;53,10009046;91;4211;15,3;2008;;
Developing;65;24;16;2,08;57,73516711;82;394;14,8;2007;;
Developing;64,1;216;17;2,03;51,50447119;8;188;14,3;2006;;
Developing;62,9;234;18;1,99;62,21817261;;264;13,9;2005;;
Developing;61,5;253;19;1,38;8,38611924;;352;13,5;2004;;
Developing;63;268;21;1,44;55,59543946;;653;13,1;2003;;
Developing;59,3;273;23;1,43;30,91060554;;1361;12,8;2002;;
Developing;58,5;273;25;1,71;27,68971051;;3761;12,4;2001;;
Developing;57,7;274;27;1,51;0,328418056;;12237;12,1;2000;;
Developing;56,7;366;47;0,01;61,39263642;87;831;28,4;2014;;
Developing;56,4;364;48;0,01;63,07890158;89;760;27,8;2013;;
Developing;55,9;369;50;0,01;68,55839112;85;609;27,2;2012;;
Developing;55,6;371;51;6,19;83,18071241;82;504;26,6;2011;;
Developing;55,3;37;53;6,15;100,8987451;84;240;26;2010;;
Developing;54,8;373;54;5,89;9,042540892;8;251;25,4;2009;;
Developing;54,2;382;56;5,9;68,7073044;84;495;24,9;2008;;
Developing;53,6;395;57;5,44;7,562892922;82;100;24,4;2007;;
Developing;53,3;394;58;5,22;0,962497052;81;196;23,8;2006;;
Developing;52,8;4;58;5,03;73,03276195;79;605;23,3;2005;;
Developing;52,1;412;59;4,71;7,177302132;;358;22,8;2004;;
Developing;51,8;412;60;4,64;67,63925302;;899;22,3;2003;;
Developing;51,6;47;60;4,58;53,70597428;;1448;21,8;2002;;
Developing;51,5;41;61;4,43;41,73629221;;23934;21,3;2001;;
Developing;51,4;394;62;3,91;4,720593531;;14629;2,9;2000;;
Developing;82;65;2;8,1;102,1902168;55;418;66,4;2014;;
Developing;81,8;67;2;8,2;9733,228019;55;83;65,8;2013;;
Developing;81,6;68;2;8,3;9748,636237;7;10;65,3;2012;;
Developing;81,5;68;2;8,2;971,9280384;7;803;64,7;2011;;
Developing;81,2;7;2;8,4;8649,674911;56;99;64,1;2010;;
Developing;81;72;2;8,4;864,94993;42;14;63,6;2009;;
Developing;87;74;2;8,3;8433,936814;28;62;63;2008;;
Developing;85;74;2;8,3;7946,743581;14;101;62,5;2007;;
Developing;85;75;2;8,2;771,1817686;14;13;61,9;2006;;
Developing;81;76;2;8;6333,177967;14;6;61,3;2005;;
Developing;80;77;2;7,8;5513,329924;14;7;6,6;2004;;
Developing;79,7;78;2;7,7;4687,845565;14;15;6;2003;;
Developing;79,5;79;2;7,7;3895,856308;;6;59,3;2002;;
Developing;79,4;8;2;7,6;3665,089703;;34;58,5;2001;;
Developing;79,1;82;2;7,6;3787,49456;;206;57,8;2000;;
Developing;58;437;15;0,01;53,43964323;47;210;22,1;2014;;
Developing;49,9;451;16;0,01;52,37766601;23;596;21,6;2013;;
Developing;53;439;16;0,01;7,344808214;47;141;21,2;2012;;
Developing;49,8;443;16;1,66;58,52947463;47;679;2,7;2011;;
Developing;49,2;446;17;1,67;43,48359197;45;2;2,2;2010;;
Developing;48,6;453;17;1,56;40,45156933;42;11;19,8;2009;;
Developing;47,6;477;17;1,52;67,34137528;;12;19,4;2008;;
Developing;46,8;495;17;1,5;60,04884821;;49;19;2007;;
Developing;46,3;56;17;1,54;46,90117916;;3;18,6;2006;;
Developing;45,9;511;17;1,5;40,92207976;;471;18,2;2005;;
Developing;45,7;512;17;1,5;41,50111735;;1233;17,9;2004;;
Developing;45,7;51;17;1,49;46,11619441;;652;17,5;2003;;
Developing;45,6;58;17;1,47;31,5941587;;938;17,2;2002;;
Developing;45,6;54;17;1,52;33,65315697;;2837;16,8;2001;;
Developing;46;49;16;1,51;30,78382657;;3207;16,5;2000;;
Developing;52,6;362;46;0,01;11,3020668;37;1275;18,7;2014;;
Developing;52,2;366;46;0,64;76,52382535;39;226;18,2;2013;;
Developing;51,8;367;46;0,62;57,8242709;4;120;17,9;2012;;
Developing;51,6;365;46;0,56;67,76269089;33;8650;17,5;2011;;
Developing;51,2;364;46;0,5;43,57328908;39;194;17,1;2010;;
Developing;57;37;46;0,47;4,982900401;24;165;16,7;2009;;
Developing;49,6;394;46;0,45;49,09198224;17;63;16,4;2008;;
Developing;49,4;394;46;0,42;5,962923532;;441;16,1;2007;;
Developing;48,5;414;45;0,41;62,67225971;;1594;15,7;2006;;
Developing;48,6;46;45;0,42;8,936064632;;2;15,4;2005;;
Developing;48,5;45;44;0,34;72,38451279;;10324;15,1;2004;;
Developing;48,4;43;44;0,42;3,979243535;;15801;14,8;2003;;
Developing;48,1;43;43;0,36;3,039691193;;7277;14,4;2002;;
Developing;48;4;42;0,3;26,87439074;;24908;14,1;2001;;
Developing;47,6;44;41;0,25;21,52701616;;3546;13,9;2000;;
Developing;83;83;2;7,16;2352,999591;95;0;63,1;2014;;
Developing;81;84;2;7,2;2442,222054;9;0;62,5;2013;;
Developing;79,9;84;2;6,76;2260,777642;9;0;61,8;2012;;
Developing;79,8;86;2;7,26;211,614293;94;6;61,2;2011;;
Developing;79,1;89;2;7,93;177,4925143;92;0;6,6;2010;;
Developing;79,3;91;2;7,67;181,525923;94;1;59,9;2009;;
Developing;79,6;88;2;7,31;241,5533381;95;0;59,3;2008;;
Developing;78,9;9;2;7,39;209,4875875;92;0;58,7;2007;;
Developing;78,9;91;2;7,33;1275,689625;95;0;58,1;2006;;
Developing;78,4;93;2;7,57;954,9644887;;0;57,4;2005;;
Developing;78;97;2;6,32;78,78564878;;0;56,8;2004;;
Developing;77,9;1;2;6,37;584,0993429;;1;56,1;2003;;
Developing;77,8;11;2;6,06;675,7808443;;0;55,4;2002;;
Developing;77,3;16;2;6,1;687,5116825;;0;54,7;2001;;
Developing;77,3;13;2;6,24;74,14842946;;0;54;2000;;
Developing;75,8;86;171;5,78;109,8743903;99;52628;31,9;2014;;
Developing;75,6;88;185;5,79;9,955532032;99;26883;3,9;2013;;
Developing;75,4;89;201;5,74;94,4344566;99;6183;3;2012;;
Developing;75,2;91;215;5,63;91,26749779;99;9943;29;2011;;
Developing;75;92;231;5,75;5,660754839;99;38159;28,1;2010;;
Developing;74,9;93;248;4,88;50,28348923;99;52461;27,3;2009;;
Developing;74,5;97;266;4,27;39,22509728;95;131441;26,5;2008;;
Developing;74,4;96;285;3,88;312,6624819;92;109023;25,7;2007;;
Developing;74,2;98;307;3,28;29,74342979;91;99602;24,9;2006;;
Developing;73,9;99;332;2,92;171,6596026;84;124219;24,1;2005;;
Developing;73,5;11;360;3,04;1,58668462;79;70549;23,4;2004;;
Developing;73,1;13;391;2,96;122,9365349;75;71879;22,6;2003;;
Developing;72,7;16;422;2,91;106,3590358;7;58341;21,9;2002;;
Developing;72,2;11;457;2,84;14,23064496;65;88962;21,2;2001;;
Developing;71,7;115;490;3,06;17,46057369;6;71093;2,5;2000;;
Developing;74,6;144;11;4,38;1435,487755;9;0;57,2;2014;;
Developing;74,4;145;11;4,41;15,16255482;91;1;56,4;2013;;
Developing;74,3;143;11;4,44;1487,896562;92;1;55,7;2012;;
Developing;74,2;144;12;4,37;184,3073618;85;6;55;2011;;
Developing;73,6;15;12;4,28;113,2436346;88;0;54,2;2010;;
Developing;73,6;15;13;4,34;941,6464045;92;0;53,5;2009;;
Developing;73,5;146;14;4,45;978,07041;92;0;52,8;2008;;
Developing;73,5;144;14;4,66;780,5946749;93;0;52;2007;;
Developing;73,1;147;15;4,53;62,43710774;93;0;51,3;2006;;
Developing;73,1;144;15;4,38;531,9808176;93;0;5,5;2005;;
Developing;72,8;148;16;4,26;42,17956418;89;0;49,8;2004;;
Developing;72,4;15;16;4,25;417,8038898;92;0;49;2003;;
Developing;71,8;163;17;4,45;393,8773633;78;139;48,2;2002;;
Developing;71,5;165;17;4,43;404,4205858;8;3;47,5;2001;;
Developing;71,4;167;18;4,66;477,1341814;78;1;46,7;2000;;
Developing;63,2;23;1;0,01;73,86584922;88;0;23,7;2014;;
Developing;62,9;233;1;0,01;61,57443584;88;0;23,2;2013;;
Developing;62,5;237;2;0,01;78,39008571;89;1;22,6;2012;;
Developing;62,2;241;2;0,12;59,6596497;83;3;22,1;2011;;
Developing;61,8;246;2;0,15;47,30421873;74;0;21,6;2010;;
Developing;61,3;251;2;0,17;56,98952474;83;1;21,1;2009;;
Developing;61;255;2;0,12;93,36788979;81;0;2,6;2008;;
Developing;66;259;2;0,16;9,087638194;75;0;2,1;2007;;
Developing;63;262;2;0,25;77,0283958;69;85;19,6;2006;;
Developing;60;266;2;0,24;69,9675435;68;912;19,2;2005;;
Developing;59,8;269;2;0,27;7,212110766;77;0;18,8;2004;;
Developing;59,6;271;2;0,26;45,09010835;28;0;18,4;2003;;
Developing;59,5;271;2;0,08;29,41897495;;0;18;2002;;
Developing;59,5;272;1;0,08;19,71741043;;0;17,6;2001;;
Developing;59,5;272;1;0,09;35,02948624;;0;17,3;2000;;
Developing;64,2;275;7;0,01;0;9;71;26,8;2014;;
Developing;63,9;274;7;0,01;0;85;124;26,2;2013;;
Developing;63,7;273;7;0,01;0;62;260;25,6;2012;;
Developing;62,9;285;7;3,82;0;7;315;25;2011;;
Developing;62;298;7;3,53;0;74;4;24,5;2010;;
Developing;68;314;7;3,47;0;75;1;23,9;2009;;
Developing;59,4;338;8;2,58;0;73;2;23,3;2008;;
Developing;58,2;354;8;2,75;0;64;84;22,8;2007;;
Developing;56,9;368;8;2,25;0;;126;22,3;2006;;
Developing;55,3;394;8;2,03;0;;146;21,7;2005;;
Developing;54,1;48;9;2,58;0;;3524;21,2;2004;;
Developing;53,2;417;9;2,45;0;;3712;2,7;2003;;
Developing;52,6;424;9;2,55;0;;2788;2,3;2002;;
Developing;52,7;419;9;2,3;0;;2152;19,8;2001;;
Developing;52,9;416;9;2,26;0;;1678;19,3;2000;;
Developing;79,5;96;1;3,45;384,5129138;91;1;59,5;2014;;
Developing;79,4;96;1;3,42;386,1379123;94;0;58,5;2013;;
Developing;79,2;97;1;3,34;2568,237059;91;0;57,5;2012;;
Developing;79;98;1;3,41;2429,854745;84;0;56,5;2011;;
Developing;78,1;16;1;3,58;2377,010299;89;0;55,5;2010;;
Developing;79,2;96;1;4,07;24,88720369;87;0;54,4;2009;;
Developing;78,9;99;1;4,22;1859,095621;89;0;53,4;2008;;
Developing;78,9;93;1;4,2;150,8891479;89;0;52,4;2007;;
Developing;78;16;1;4,15;1185,412346;88;0;51,4;2006;;
Developing;78,6;97;1;4,1;1002,833273;9;1;5,3;2005;;
Developing;77,7;12;1;4,09;1043,10795;89;0;49,3;2004;;
Developing;78;1;1;4,04;1070,268999;86;1;48,3;2003;;
Developing;78,3;99;1;4,17;112,9493745;94;0;47,3;2002;;
Developing;77,5;1;1;4,29;868,3713593;8;0;46,4;2001;;
Developing;77,6;98;1;4,34;94,17819458;89;0;45,4;2000;;
Developed;77,8;97;0;12,14;1884,098811;95;0;63,1;2014;;
Developed;77,7;97;0;12,39;1899,107385;96;0;62,5;2013;;
Developed;77,1;14;0;11,49;1851,713262;98;2;61,9;2012;;
Developed;77;14;0;12,19;1913,356642;97;12;61,3;2011;;
Developed;76,6;16;0;12,1;206,8868182;97;7;6,6;2010;;
Developed;76,3;19;0;12,21;2160,380199;97;2;6;2009;;
Developed;76;116;0;12,06;2425,403891;97;51;59,4;2008;;
Developed;75,8;114;0;12,56;2019,812779;95;0;58,7;2007;;
Developed;75,9;113;0;11,83;1555,651986;;1;58,1;2006;;
Developed;75,2;116;0;11,59;167,2319899;;2;57,5;2005;;
Developed;75,4;114;0;13,11;1116,396502;;54;56,9;2004;;
Developed;74,7;122;0;13,78;93,67706503;;19;56,3;2003;;
Developed;74,8;124;0;13,39;11,63615139;;6;55,8;2002;;
Developed;74,9;126;0;13,15;650,9567981;;8;55,2;2001;;
Developed;74,7;127;0;12,73;649,3909871;;9;54,7;2000;;
Developing;79;93;1;4,37;13,6691019;97;0;6,7;2014;;
Developing;78,7;96;1;4,18;95,67571176;96;0;59,9;2013;;
Developing;78,7;96;1;4,16;742,1961992;96;0;59,2;2012;;
Developing;78,8;92;1;4,14;102,0645784;96;0;58,4;2011;;
Developing;78;98;1;4,13;787,2808163;96;0;57,7;2010;;
Developing;78,1;11;1;4,01;818,8771016;96;0;56,9;2009;;
Developing;77,9;12;1;4,26;708,6157966;95;0;56,2;2008;;
Developing;78,1;14;1;4,13;750,7147641;93;0;55,4;2007;;
Developing;78;14;1;4,17;523,4724284;89;0;54,6;2006;;
Developing;77,2;19;1;4,48;518,9359221;95;0;53,8;2005;;
Developing;77,3;17;1;4,38;4,484254579;99;0;53;2004;;
Developing;77,4;18;1;4,39;60,34145124;99;0;52,1;2003;;
Developing;77,7;19;1;4,1;334,7672107;98;0;51,3;2002;;
Developing;76,7;115;1;4,04;322,5863149;98;0;5,4;2001;;
Developing;76,9;115;1;3,92;49,34007756;98;0;49,4;2000;;
Developed;83;53;0;0,01;207,3041936;96;10;59,8;2014;;
Developed;81;54;0;9,04;212,0859259;96;0;59,2;2013;;
Developed;80;56;0;10,55;2159,756205;96;1;58,7;2012;;
Developed;79,7;57;0;10,69;2443,325028;96;0;58,3;2011;;
Developed;79,5;59;0;11,32;283,3300258;96;18;57,8;2010;;
Developed;79,3;6;0;10,8;230,2524184;96;0;57,3;2009;;
Developed;79,1;62;0;12,01;239,6409938;93;1;56,8;2008;;
Developed;78,9;63;0;11,56;1958,525877;93;0;56,3;2007;;
Developed;78,8;64;0;11,47;1700,841534;93;0;55,8;2006;;
Developed;78,7;65;0;11,41;1562,520827;88;1;55,3;2005;;
Developed;78,6;65;0;13,03;1586,724172;88;0;54,8;2004;;
Developed;78,5;66;0;10,62;158,7087399;88;0;54,3;2003;;
Developed;78,4;68;0;11,68;1128,050886;88;0;53,8;2002;;
Developed;78,2;69;0;10,16;100,8086193;89;0;53,3;2001;;
Developed;78,1;7;0;9,56;950,8027925;89;0;52,8;2000;;
Developed;78,6;88;0;12,68;0;99;222;65,6;2014;;
Developed;78,2;9;0;12,45;0;99;15;65,1;2013;;
Developed;78;93;0;12,71;0;99;22;64,5;2012;;
Developed;77,8;97;0;12,43;0;99;17;64;2011;;
Developed;77,5;99;0;12,69;0;99;0;63,6;2010;;
Developed;77,1;12;0;13,23;0;99;5;63,1;2009;;
Developed;77;16;0;13,25;0;99;2;62,6;2008;;
Developed;76,8;17;0;13,43;0;99;2;62,2;2007;;
Developed;76,5;19;0;13,03;0;98;7;61,8;2006;;
Developed;75,9;114;0;13,19;0;99;0;61,3;2005;;
Developed;75,8;116;0;13,24;0;98;17;6,8;2004;;
Developed;75,2;122;0;13,01;0;92;30;6,4;2003;;
Developed;75,3;12;0;13,47;0;86;4;59,9;2002;;
Developed;75,1;123;0;13,36;0;;6;59,4;2001;;
Developed;74,7;126;0;13,22;0;;9;59;2000;;
Developing;73;142;6;0,01;0;93;3;32,4;2014;;
Developing;71;146;6;3,35;0;93;0;31,8;2013;;
Developing;69,8;149;7;3,61;0;96;0;31,3;2012;;
Developing;69,4;153;8;3,39;0;94;0;3,8;2011;;
Developing;69;157;8;3,12;0;93;0;3,3;2010;;
Developing;68,7;161;9;3,35;0;93;0;29,7;2009;;
Developing;68,6;164;9;3,16;0;92;8;29,2;2008;;
Developing;68,5;166;9;3,13;0;92;3550;28,7;2007;;
Developing;68,5;165;10;3,28;0;96;0;28,2;2006;;
Developing;68,5;165;10;3,21;0;92;0;27,7;2005;;
Developing;68,4;165;11;3,13;0;98;0;27,2;2004;;
Developing;68,1;165;12;3,13;0;27;0;26,7;2003;;
Developing;67,6;167;14;3,08;0;;0;26,2;2002;;
Developing;66,6;177;16;2,53;0;;0;25,7;2001;;
Developing;65,4;192;18;3,52;0;;0;25,2;2000;;
Developing;59,3;266;237;0,01;0;8;33711;21,1;2014;;
Developing;58,8;272;238;0,01;0;74;88381;2,6;2013;;
Developing;58,3;277;239;0,01;0;75;72029;2,1;2012;;
Developing;57,9;278;239;1,82;0;74;133802;19,6;2011;;
Developing;57,4;283;239;1,81;0;6;5407;19,1;2010;;
Developing;56,7;292;238;2,13;0;72;57;18,6;2009;;
Developing;56,3;295;237;2,09;0;65;12461;18,2;2008;;
Developing;55,7;299;236;1,52;0;7;55577;17,8;2007;;
Developing;55;36;235;1,53;0;;80123;17,3;2006;;
Developing;54,3;314;233;1,43;0;;182485;16,9;2005;;
Developing;53,5;323;232;1,44;0;;44934;16,5;2004;;
Developing;52,8;332;231;1,83;0;;21956;16,1;2003;;
Developing;52,1;341;229;1,85;0;;30466;15,7;2002;;
Developing;51,8;34;227;1,9;0;;8072;15,3;2001;;
Developing;51,3;346;226;1,98;0;;8282;14,9;2000;;
Developed;84;73;0;9,64;10468,76292;;27;58,4;2014;;
Developed;81;75;0;9,5;10261,763;;17;58,1;2013;;
Developed;80;76;0;9,26;928,4170785;;2;57,7;2012;;
Developed;79,7;79;0;10,47;10251,10872;;84;57,4;2011;;
Developed;79,2;84;0;10,28;954,4865933;;5;57;2010;;
Developed;78,9;86;0;10,08;9765,616994;;6;56,6;2009;;
Developed;78,8;88;0;10,7;10761,18209;;14;56,3;2008;;
Developed;78,4;93;0;10,99;9703,068121;;2;55,9;2007;;
Developed;78,1;93;0;11,02;850,9544783;;27;55,4;2006;;
Developed;78,1;92;0;11,28;7627,412444;;2;55;2005;;
Developed;77,7;98;0;11,27;6948,839868;;0;54,4;2004;;
Developed;77,3;11;0;11,54;650,9813544;;0;53,9;2003;;
Developed;77;14;0;11,34;4801,546125;;32;53,3;2002;;
Developed;77;12;0;11,56;530,4832336;;11;52,8;2001;;
Developed;76,9;12;0;11,69;508,7496912;;14;52,2;2000;;
Developing;63;252;1;0,38;24,73299655;78;0;34,4;2014;;
Developing;62,7;256;1;0,53;229,4410095;82;28;33,8;2013;;
Developing;62,2;263;1;0,52;217,2125786;81;709;33,2;2012;;
Developing;61,8;268;1;0,39;20,35974738;87;49;32,7;2011;;
Developing;61,3;273;1;0,44;187,4960097;88;7;32,2;2010;;
Developing;69;279;1;0,49;177,2671607;89;48;31,7;2009;;
Developing;62;289;1;0,49;171,7686449;88;143;31,3;2008;;
Developing;59,8;296;1;0,45;20,86878709;25;24;3,9;2007;;
Developing;59,1;39;2;1,02;121,4812077;;49;3,6;2006;;
Developing;58,6;318;2;1,23;12,70325933;;298;3,2;2005;;
Developing;58,1;326;2;1,18;106,0354659;;71;29,8;2004;;
Developing;58;325;2;1,02;94,13302875;;37;29,4;2003;;
Developing;57,9;322;2;1,03;13,46662004;;50;29;2002;;
Developing;57,7;323;2;0,95;92,4978948;;79;28,6;2001;;
Developing;57,4;325;2;1,34;91,95075901;;183;28,2;2000;;
Developing;73,6;154;6;5,92;1088,244952;89;0;57,9;2014;;
Developing;73,4;157;6;5,93;97,52211538;8;0;56,8;2013;;
Developing;72,1;174;6;5,93;857,1307037;74;0;55,8;2012;;
Developing;73,1;16;6;5,91;843,7876995;8;2;54,7;2011;;
Developing;72,7;166;6;6,02;664,5585242;83;0;53,6;2010;;
Developing;73,6;157;6;6,05;587,8828228;8;0;52,6;2009;;
Developing;73,3;161;6;6,12;49,09241952;81;0;51,5;2008;;
Developing;72,9;164;6;6,05;74,8217488;81;0;5,4;2007;;
Developing;72,3;178;7;6,2;352,9551269;84;0;49,3;2006;;
Developing;69,7;28;7;5,71;289,7418649;87;0;48,2;2005;;
Developing;69,3;214;7;5,16;182,6162515;82;0;47,2;2004;;
Developing;73;22;7;6,32;293,0196601;79;0;46,1;2003;;
Developing;71,4;189;7;6,43;4,67359227;63;0;45,1;2002;;
Developing;71,2;188;7;6,13;340,0239945;66;113;44,1;2001;;
Developing;72;176;7;6,58;44,79247812;68;253;43,1;2000;;
Developing;76;121;6;3,82;79,11626341;83;0;53,5;2014;;
Developing;76;121;6;3,77;59,12850204;87;0;52,8;2013;;
Developing;75,5;127;7;3,92;41,88087712;88;72;52,1;2012;;
Developing;75,3;131;7;3,99;344,7412164;88;257;51,4;2011;;
Developing;75;134;7;3,95;367,9285652;9;0;5,7;2010;;
Developing;75,1;137;7;3,87;282,1440066;91;0;5;2009;;
Developing;74,6;139;7;3,76;197,9303077;93;1;49,3;2008;;
Developing;74,7;14;7;3,63;19,60467787;94;0;48,6;2007;;
Developing;74,4;144;8;3,52;19,13983284;96;0;47,9;2006;;
Developing;74,2;151;8;3,54;18,09317114;92;0;47,2;2005;;
Developing;74,4;148;8;3,65;16,37920405;88;0;46,5;2004;;
Developing;74,4;151;8;3,69;18,26183281;82;0;45,8;2003;;
Developing;73,6;157;8;3,88;187,3843511;75;0;45,1;2002;;
Developing;73,4;158;9;4,13;14,5887403;69;2;44,3;2001;;
Developing;72,8;163;9;3,99;84,17527008;36;0;43,6;2000;;
Developing;78;161;53;0,21;0;94;1314;6,2;2014;;
Developing;79;159;54;0,21;0;97;405;59,4;2013;;
Developing;72;165;54;0,23;0;93;245;58,6;2012;;
Developing;74;168;55;0,22;0;96;26;57,8;2011;;
Developing;70;173;54;0,22;0;97;16;57;2010;;
Developing;69,9;174;54;0,21;0;97;608;56,2;2009;;
Developing;69,8;172;54;0,24;0;97;668;55,5;2008;;
Developing;69,7;171;55;0,21;0;98;1684;54,8;2007;;
Developing;69,5;175;55;0,18;0;98;953;54,2;2006;;
Developing;69,4;174;56;0,16;0;98;77;53,5;2005;;
Developing;69;176;57;0,16;0;97;80;52,9;2004;;
Developing;68,6;178;59;0,15;0;98;164;52,3;2003;;
Developing;68,7;177;61;0,15;0;97;653;51,8;2002;;
Developing;68,6;177;63;0,14;0;99;2150;51,2;2001;;
Developing;68,8;171;65;0,14;0;98;2633;5,7;2000;;
Developing;73,3;181;2;2,52;665,7260253;93;0;55,4;2014;;
Developing;73;184;2;2,42;653,6925016;92;0;54,7;2013;;
Developing;73;181;2;2,48;591,7757569;92;0;54,1;2012;;
Developing;72;197;2;2,37;549,2783081;89;0;53,4;2011;;
Developing;72;191;2;2,36;469,3904193;89;0;52,8;2010;;
Developing;71,4;23;2;2,55;416,4338399;91;0;52,1;2009;;
Developing;71,7;194;2;2,68;53,95949877;98;0;51,4;2008;;
Developing;71,2;23;2;2,83;52,30172215;99;0;5,8;2007;;
Developing;75;211;3;2,77;57,74562629;96;0;5,1;2006;;
Developing;71;213;3;2,77;440,6027042;89;0;49,4;2005;;
Developing;70;215;3;2,9;398,6058322;9;0;48,6;2004;;
Developing;69,9;29;3;3,1;400,1342971;94;0;47,8;2003;;
Developing;73;24;3;2,97;29,68529375;81;0;47;2002;;
Developing;68,9;219;4;2,88;332,1056586;75;2;46,2;2001;;
Developing;69;218;4;2,79;353,6690328;99;0;45,3;2000;;
Developing;57,9;32;3;0,01;13,40477417;2;13;24;2014;;
Developing;57,4;327;3;10,72;156,3907685;;321;23,5;2013;;
Developing;56,7;337;3;11,89;1500,412635;;1190;23;2012;;
Developing;56,2;344;3;10,99;1493,051277;;0;22,6;2011;;
Developing;56,1;339;3;9,93;1192,696619;;0;22,1;2010;;
Developing;55,7;34;3;7,97;115,0692415;;78;21,7;2009;;
Developing;55,4;338;3;8,34;1705,678619;;436;21,3;2008;;
Developing;55;339;3;6,86;1024,519543;;5;2,9;2007;;
Developing;54,8;337;3;7,28;827,5979335;;0;2,5;2006;;
Developing;54,4;337;3;7,19;12,0661671;;0;2,2;2005;;
Developing;54,1;336;3;6,28;44,54768305;;38;19,8;2004;;
Developing;53,8;334;3;7,13;309,7834587;;18;19,5;2003;;
Developing;53,5;334;3;6,01;234,7874207;;24;19,1;2002;;
Developing;53,1;334;3;5,07;197,7839552;;1339;18,7;2001;;
Developing;52,7;336;3;4,46;14,95451321;;0;18,3;2000;;
Developing;64,4;261;5;0,01;0;94;127;18;2014;;
Developing;64;266;6;0,01;0;94;45;17,5;2013;;
Developing;63,6;274;6;0,01;0;94;194;17;2012;;
Developing;62,9;286;6;0,62;20,97991915;96;48;16,5;2011;;
Developing;62,1;298;6;0,61;17,35739784;9;51;16;2010;;
Developing;61,4;311;6;0,63;1,575160196;92;82;15,5;2009;;
Developing;67;322;6;0,49;11,76572311;94;0;15,1;2008;;
Developing;62;329;6;1,23;11,42385961;91;55;14,7;2007;;
Developing;59,7;336;7;0,97;10,60269773;94;128;14,3;2006;;
Developing;59,4;34;7;1,07;5,064688968;96;19;13,9;2005;;
Developing;59,1;342;7;0,64;10,26097341;84;24;13,6;2004;;
Developing;58,8;343;7;0,56;6,913998013;91;376;13,3;2003;;
Developing;58,5;343;7;0,83;0,703132179;86;460;13,1;2002;;
Developing;58,1;345;7;0,61;5,593619538;;204;12,8;2001;;
Developing;45,3;593;7;0,83;0,735940361;;789;12,6;2000;;
Developing;77,3;122;0;0,01;2700,07305;93;0;59,4;2014;;
Developing;76,9;127;0;0,01;261,2914808;93;2;59;2013;;
Developing;76,3;135;0;0,01;2263,103797;94;4;58,5;2012;;
